game_id,season,week,home_team,away_team,game_time,home_score,away_score,point_differential,total_points,home_won,is_home,week_number,is_divisional,home_off_epa,home_def_epa,away_off_epa,away_def_epa,epa_differential,home_off_success_rate,away_off_success_rate,home_redzone_td_pct,away_redzone_td_pct,home_third_down_pct,away_third_down_pct,home_games_played,away_games_played,stadium,is_outdoor,is_playoff,game_type,gameday
2015_04_OAK_CHI,2015,4,CHI,OAK,2015-10-04T00:00:00,22.0,20.0,2.0,42.0,1,1,4,0,-0.0503884106874465,0.2499751448631286,0.0,0.0,0.0,0.4000000059604645,0.0,0.4137930870056152,0.0,0.3617021143436432,0.0,3,0,CHI Stadium,1,False,,
2015_04_KC_CIN,2015,4,CIN,KC,2015-10-04T00:00:00,36.0,21.0,15.0,57.0,1,1,4,0,0.0486742183566093,-0.0848672315478324,-0.0261145066469907,-0.002720293123275,0.1569356634281575,0.4409448802471161,0.4330708682537079,0.7105262875556946,1.0243902206420898,0.4000000059604645,0.2000000029802322,3,3,CIN Stadium,1,False,,
2015_04_JAX_IND,2015,4,IND,JAX,2015-10-04T00:00:00,16.0,13.0,3.0,29.0,1,1,4,1,-0.0823126211762428,0.0152921862900257,-0.0885862708091735,0.0870028063654899,0.077984269708395,0.4344262182712555,0.3951613008975982,0.8108108043670654,0.5625,0.4634146392345428,0.3863636255264282,3,3,IND Stadium,1,False,,
2015_04_CAR_TB,2015,4,TB,CAR,2015-10-04T00:00:00,23.0,37.0,-14.0,60.0,0,1,4,1,-0.1659364849328994,-0.0375552289187908,-0.015092434361577,-0.0945462882518768,-0.2078351099044084,0.38056680560112,0.3939394056797027,0.4864864945411682,0.625,0.2272727340459823,0.4000000059604645,3,3,TB Stadium,1,False,,
2015_04_PHI_WAS,2015,4,WAS,PHI,2015-10-04T00:00:00,23.0,20.0,3.0,43.0,1,1,4,1,-0.0323209762573242,-0.0167174488306045,-0.1462053805589676,-0.1233166456222534,0.0072852075099945,0.4360902309417724,0.4208494126796722,0.6857142448425293,0.7894736528396606,0.4000000059604645,0.2222222238779068,3,3,WAS Stadium,1,False,,
2015_04_CLE_SD,2015,4,SD,CLE,2015-10-04T00:00:00,30.0,27.0,3.0,57.0,1,1,4,0,0.0,0.0,-0.0330139510333538,0.0360671728849411,0.0,0.0,0.4075630307197571,0.0,0.3428571224212646,0.0,0.4255319237709045,0,3,SD Stadium,1,False,,
2015_04_STL_ARI,2015,4,ARI,STL,2015-10-04T00:00:00,22.0,24.0,-2.0,46.0,0,1,4,1,0.1930754631757736,-0.1385556608438491,0.0,0.0,0.0,0.4795081913471222,0.0,1.2222222089767456,0.0,0.53125,0.0,3,0,ARI Stadium,0,False,,
2015_04_MIN_DEN,2015,4,DEN,MIN,2015-10-04T00:00:00,23.0,20.0,3.0,43.0,1,1,4,0,-0.0430236794054508,-0.157422199845314,-0.0354418009519577,-0.0688286572694778,0.081011664122343,0.3916349709033966,0.4082568883895874,1.071428656578064,0.625,0.3725490272045135,0.3529411852359772,3,3,DEN Stadium,1,False,,
2015_04_GB_SF,2015,4,SF,GB,2015-10-04T00:00:00,3.0,17.0,-14.0,20.0,0,1,4,0,-0.0993621498346328,0.1050901487469673,0.1816766262054443,0.064372070133686,-0.3217568546533584,0.4609375,0.4980237185955047,0.4800000190734863,1.125,0.3478260934352875,0.4736842215061188,3,3,SF Stadium,1,False,,
2015_04_DAL_NO,2015,4,NO,DAL,2015-10-04T00:00:00,26.0,20.0,6.0,46.0,1,1,4,0,-0.0290169734507799,0.0702517926692962,-0.0041885757818818,0.0144673213362693,-0.0806128690019249,0.3897058963775635,0.4862745106220245,1.058823585510254,0.800000011920929,0.4791666567325592,0.4444444477558136,3,3,NO Stadium,0,False,,
2015_04_DET_SEA,2015,4,SEA,DET,2015-10-05T00:00:00,13.0,10.0,3.0,23.0,1,1,4,0,-0.0003144145011901,-0.087856687605381,-0.088885560631752,0.0320382229983806,0.2084660567343235,0.46484375,0.4285714328289032,0.4500000178813934,0.8571428060531616,0.3469387888908386,0.4250000119209289,3,3,SEA Stadium,1,False,,
2015_05_IND_HOU,2015,5,HOU,IND,2015-10-08T00:00:00,20.0,27.0,-7.0,47.0,0,1,5,1,-0.1226081550121307,-0.0440730303525924,-0.0806045681238174,-0.0170655455440282,-0.0149961020797491,0.3855721354484558,0.4310850501060486,1.0,0.6792452931404114,0.3835616409778595,0.4915254116058349,4,4,HOU Stadium,0,False,,
2015_05_WAS_ATL,2015,5,ATL,WAS,2015-10-11T00:00:00,25.0,19.0,6.0,44.0,1,1,5,0,0.0981054604053497,-0.0347635261714458,-0.0236675590276718,-0.016259578987956,0.1402769666165113,0.4613259732723236,0.4316940009593963,1.0746268033981323,0.6206896305084229,0.5384615659713745,0.4210526347160339,4,4,ATL Stadium,0,False,,
2015_05_CLE_BAL,2015,5,BAL,CLE,2015-10-11T00:00:00,30.0,33.0,-3.0,63.0,0,1,5,1,-0.0412069149315357,-0.0277250092476606,0.0154502773657441,0.0668380931019783,0.0379059100523591,0.4432132840156555,0.4376899600028991,0.5555555820465088,0.3913043439388275,0.3846153914928436,0.4000000059604645,4,4,BAL Stadium,1,False,,
2015_05_SEA_CIN,2015,5,CIN,SEA,2015-10-11T00:00:00,27.0,24.0,3.0,51.0,1,1,5,0,0.1025490164756774,-0.0331513881683349,-0.0217701662331819,-0.0971955507993698,0.0602750200778245,0.4525993764400482,0.4640718698501587,0.8571428656578064,0.4186046719551086,0.4285714328289032,0.3709677457809448,4,4,CIN Stadium,1,False,,
2015_05_STL_GB,2015,5,GB,STL,2015-10-11T00:00:00,24.0,10.0,14.0,34.0,1,1,5,0,0.1401191800832748,0.0043435893021523,0.0,0.0,0.0,0.4824561476707458,0.0,1.047619104385376,0.0,0.4363636374473572,0.0,4,0,GB Stadium,1,False,,
2015_05_CHI_KC,2015,5,KC,CHI,2015-10-11T00:00:00,17.0,18.0,-1.0,35.0,0,1,5,0,0.0091369291767477,0.0576437078416347,-0.0477831847965717,0.1779213845729828,0.1771977907046675,0.4540229737758636,0.4011628031730652,0.8235294222831726,0.5581395626068115,0.2641509473323822,0.4307692348957062,4,4,KC Stadium,1,False,,
2015_05_NO_PHI,2015,5,PHI,NO,2015-10-11T00:00:00,39.0,17.0,22.0,56.0,1,1,5,0,-0.1170191615819931,-0.091782659292221,0.0059483363293111,0.0760190561413765,0.0448342175222933,0.3993993997573852,0.3988919556140899,0.75,0.9795917868614196,0.2456140369176864,0.4761904776096344,4,4,PHI Stadium,1,False,,
2015_05_JAX_TB,2015,5,TB,JAX,2015-10-11T00:00:00,38.0,31.0,7.0,69.0,1,1,5,0,-0.171594813466072,-0.024599265307188,-0.0910536348819732,0.0437209606170654,-0.0122209526598453,0.4052478075027466,0.3881019949913025,0.6792452931404114,0.5581395626068115,0.311475396156311,0.390625,4,4,TB Stadium,1,False,,
